"Date","Open","High","Low","Close","Volume"
"05/2025","280.01","354.9899","271","339.34","1,772,561,260"
"04/2025","263.8","294.86","214.25","282.16","2,957,985,610"
"03/2025","300.34","303.94","217.02","259.16","2,721,582,050"
"02/2025","386.68","394","273.6","292.98","1,582,390,060"
"01/2025","390.1","439.74","373.04","404.6","1,510,656,690"
"12/2024","352.38","488.5399","348.2","403.84","1,903,650,560"
"11/2024","252.043","361.93","238.88","345.16","2,091,913,780"
"10/2024","262.67","273.536","212.11","249.85","1,910,960,810"
"09/2024","215.26","264.86","209.64","261.63","1,611,441,090"
"08/2024","227.69","231.867","182","214.11","1,618,373,040"
"07/2024","201.02","271","200.85","232.07","2,946,645,960"
"06/2024","178.13","203.2","167.41","197.88","1,407,037,310"
"05/2024","182","187.56","167.75","178.08","1,668,285,760"
"04/2024","176.17","198.87","138.8025","183.28","2,481,733,250"
"03/2024","200.52","204.52","160.51","175.79","1,899,578,510"
"02/2024","188.5","205.6","175.01","201.88","2,020,188,360"
"01/2024","250.08","251.25","180.06","187.29","2,344,213,380"
"12/2023","233.14","265.13","228.2","248.48","2,295,511,870"
"11/2023","204.04","252.75","197.85","240.08","2,652,010,500"
"10/2023","244.81","268.94","194.07","200.84","2,591,243,960"
"09/2023","257.26","278.98","234.58","250.22","2,440,633,600"
"08/2023","266.26","266.47","212.36","258.08","2,503,253,360"
"07/2023","276.49","299.29","254.12","267.43","2,393,588,350"
"06/2023","202.59","276.99","199.37","261.77","3,443,091,800"
"05/2023","163.17","204.48","158.83","203.93","2,682,606,240"
"04/2023","199.91","202.6897","152.37","164.31","2,505,176,280"
"03/2023","206.21","207.79","163.91","207.46","3,312,555,340"
"02/2023","173.89","217.65","169.93","205.71","3,625,947,300"
"01/2023","118.47","180.68","101.81","173.22","3,897,499,400"
"12/2022","197.08","198.92","108.24","123.18","2,944,247,690"
"11/2022","234.05","237.3951","166.185","194.7","1,885,408,410"
"10/2022","254.5","257.5","198.5863","227.54","1,735,577,780"
"09/2022","272.575","313.8","262.47","265.25","1,299,403,680"
"08/2022","301.275","314.6666","271.81","275.61","1,695,635,325"
"07/2022","227","298.32","216.1667","297.15","1,745,350,133"
"06/2022","251.72","264.21","208.6933","224.4733","2,012,477,570"
"05/2022","286.9233","318.5","206.8566","252.7533","1,948,221,704"
"04/2022","360.3833","384.29","273.9","290.2533","1,521,102,574"
"03/2022","289.8933","371.59","252.0133","359.2","1,729,453,732"
"02/2022","311.7366","315.9233","233.3333","290.1433","1,391,491,041"
"01/2022","382.5833","402.6666","264.0033","312.24","1,917,816,460"
"12/2021","386.8983","390.9466","295.3733","352.26","1,530,964,383"
